0	4	2	3	0	1	2	4	1	6	1	4	3	2	cat_37	cat_39	cat_6	cat_5	cat_25	cat_35	cat_34	cat_23	cat_16	cat_1	cat_26	cat_9	cat_19	cat_32	cat_8	cat_47	cat_12	cat_0	cat_17	cat_3	cat_13	cat_19	cat_9	cat_6	cat_28	cat_16
0	1	5	3	4	3	3	0	3	3	2	6	2	1	cat_30	cat_15	cat_6	cat_10	cat_32	cat_32	cat_45	cat_38	cat_44	cat_11	cat_15	cat_38	cat_46	cat_38	cat_35	cat_45	cat_5	cat_7	cat_24	cat_17	cat_37	cat_32	cat_4	cat_40	cat_4	cat_26
1	3	4	3	0	2	6	4	1	7	2	4	7	3	cat_32	cat_31	cat_4	cat_24	cat_3	cat_5	cat_0	cat_32	cat_24	cat_22	cat_9	cat_38	cat_32	cat_32	cat_33	cat_44	cat_4	cat_2	cat_39	cat_16	cat_42	cat_10	cat_1	cat_49	cat_11	cat_17
0	3	4	5	6	3	2	2	4	4	1	2	3	1	cat_29	cat_32	cat_36	cat_4	cat_20	cat_48	cat_9	cat_46	cat_14	cat_43	cat_38	cat_49	cat_46	cat_20	cat_36	cat_27	cat_48	cat_22	cat_29	cat_48	cat_16	cat_42	cat_23	cat_42	cat_43	cat_19
0	1	3	4	1	3	6	1	5	3	1	0	3	1	cat_0	cat_46	cat_10	cat_35	cat_7	cat_19	cat_42	cat_47	cat_33	cat_45	cat_12	cat_43	cat_28	cat_20	cat_21	cat_40	cat_37	cat_2	cat_6	cat_31	cat_17	cat_16	cat_0	cat_13	cat_8	cat_12
1	2	4	2	1	7	6	0	2	3	1	3	2	2	cat_6	cat_37	cat_30	cat_19	cat_46	cat_23	cat_3	cat_5	cat_24	cat_12	cat_9	cat_31	cat_11	cat_3	cat_19	cat_8	cat_22	cat_10	cat_40	cat_3	cat_13	cat_12	cat_36	cat_40	cat_23	cat_4
0	1	2	4	5	3	7	5	3	4	4	1	6	3	cat_30	cat_4	cat_43	cat_45	cat_23	cat_8	cat_42	cat_5	cat_49	cat_16	cat_48	cat_24	cat_30	cat_15	cat_7	cat_15	cat_35	cat_8	cat_13	cat_6	cat_18	cat_11	cat_14	cat_22	cat_7	cat_25
0	1	2	4	3	1	9	3	5	7	2	4	6	3	cat_5	cat_5	cat_42	cat_43	cat_43	cat_20	cat_18	cat_22	cat_6	cat_21	cat_1	cat_1	cat_33	cat_40	cat_26	cat_13	cat_23	cat_39	cat_20	cat_44	cat_28	cat_6	cat_41	cat_35	cat_41	cat_4
1	2	4	1	3	1	1	3	2	6	4	5	4	1	cat_26	cat_36	cat_24	cat_21	cat_48	cat_35	cat_37	cat_37	cat_38	cat_27	cat_38	cat_14	cat_35	cat_33	cat_25	cat_9	cat_12	cat_42	cat_46	cat_32	cat_33	cat_35	cat_41	cat_36	cat_49	cat_5
1	2	2	2	1	3	5	2	1	6	1	4	5	3	cat_37	cat_15	cat_40	cat_44	cat_0	cat_27	cat_26	cat_35	cat_1	cat_3	cat_39	cat_49	cat_16	cat_32	cat_23	cat_18	cat_24	cat_7	cat_24	cat_25	cat_1	cat_35	cat_46	cat_37	cat_36	cat_32
0	1	3	5	0	3	4	3	3	3	2	2	0	1	cat_45	cat_11	cat_44	cat_18	cat_10	cat_32	cat_1	cat_9	cat_0	cat_12	cat_8	cat_4	cat_42	cat_32	cat_32	cat_41	cat_17	cat_11	cat_8	cat_30	cat_17	cat_47	cat_4	cat_43	cat_39	cat_36
0	0	4	4	0	2	5	1	4	6	3	5	3	1	cat_23	cat_49	cat_9	cat_44	cat_49	cat_37	cat_11	cat_11	cat_6	cat_0	cat_16	cat_49	cat_17	cat_5	cat_30	cat_43	cat_3	cat_35	cat_37	cat_33	cat_20	cat_48	cat_8	cat_6	cat_9	cat_10
1	4	3	5	4	4	7	2	2	8	5	2	6	1	cat_6	cat_7	cat_22	cat_0	cat_9	cat_21	cat_28	cat_37	cat_28	cat_23	cat_36	cat_38	cat_32	cat_7	cat_3	cat_41	cat_35	cat_29	cat_16	cat_3	cat_39	cat_43	cat_33	cat_18	cat_7	cat_9
1	2	4	9	2	1	5	1	1	5	3	5	7	2	cat_23	cat_2	cat_0	cat_49	cat_42	cat_25	cat_35	cat_8	cat_25	cat_17	cat_46	cat_14	cat_42	cat_3	cat_19	cat_7	cat_49	cat_42	cat_32	cat_26	cat_43	cat_10	cat_31	cat_42	cat_8	cat_46
1	1	1	7	2	6	3	1	1	6	2	2	4	0	cat_22	cat_37	cat_7	cat_9	cat_15	cat_6	cat_18	cat_15	cat_8	cat_26	cat_0	cat_46	cat_21	cat_18	cat_34	cat_28	cat_47	cat_25	cat_7	cat_15	cat_45	cat_0	cat_44	cat_12	cat_46	cat_20
0	3	3	9	2	5	5	1	2	1	0	2	7	1	cat_40	cat_24	cat_11	cat_48	cat_45	cat_0	cat_43	cat_39	cat_21	cat_35	cat_36	cat_5	cat_26	cat_21	cat_30	cat_10	cat_44	cat_43	cat_9	cat_32	cat_12	cat_16	cat_7	cat_8	cat_26	cat_20
1	2	6	3	2	1	5	1	1	5	3	3	2	1	cat_49	cat_30	cat_4	cat_24	cat_5	cat_27	cat_15	cat_1	cat_18	cat_7	cat_11	cat_24	cat_32	cat_37	cat_42	cat_30	cat_5	cat_15	cat_31	cat_30	cat_0	cat_20	cat_8	cat_13	cat_31	cat_33
0	6	3	2	4	2	4	3	4	6	2	3	3	2	cat_35	cat_21	cat_31	cat_6	cat_32	cat_6	cat_42	cat_7	cat_29	cat_10	cat_1	cat_27	cat_44	cat_22	cat_22	cat_48	cat_29	cat_30	cat_10	cat_34	cat_47	cat_3	cat_16	cat_6	cat_21	cat_16
